Line,1,2,3,4,5,6,7,8,9,10
t43,874.6737003507685,4263.9195447254215,0.0,4835.868236202078,-2700.0,8554.883679441544,1374.2851578205996,301.0578192893401,-3736.7509936758443,0.0
t44,1195.4185589511042,3893.1825831030737,0.0,4615.70458551633,-2700.0,8596.270477,0.0,20.331819777693553,-3736.7509936758443,0.0
t45,1240.004185951104,3764.2260594379027,0.0,5772.041655000001,-2700.0,8459.071562,0.0,341.42496928162416,-3736.7509936758443,0.0
t46,1187.1281239511045,3866.2018988105738,0.0,4706.43610451633,-2700.0,8164.4779659999995,0.0,988.4863817258881,-3736.7509936758443,0.0
t47,1165.914012951104,3571.10417839734,0.0,3842.98019751633,-2700.0,7863.807051,0.0,1559.752210640638,-3736.7509936758443,0.0
t48,1127.0853249511044,3963.183145296449,0.0,2903.54522451633,-2700.0,7681.3292280000005,0.0,1422.9197296422435,-3736.7509936758443,0.0
t49,1165.1658929511043,4925.421699680402,0.0,2523.7555434777564,-2700.0,7502.540182000001,0.0,1451.2987216062297,-3736.7509936758443,0.0
t50,1266.5692539511042,4850.431228426395,0.0,956.1321701168828,-2700.0,7361.624076,0.0,846.4895319796955,-3736.7509936758443,0.0
t51,1422.0802199511043,3854.799432446308,0.0,1390.8224245163306,-2700.0,7189.586897000001,0.0,786.591010098448,-3736.7509936758443,0.0
t52,1440.7032469511046,2988.9310391984122,0.0,1792.2995595163309,-2700.0,7026.491674000001,1022.005436884736,1550.3368152284268,-3736.7509936758447,0.0
t53,1484.745436951104,2634.597389984533,0.0,2220.8242675163297,-2700.0,6968.731572999999,920.8651174418051,996.9858334474623,-3736.7509936758443,0.0
t54,1515.0984319511042,2037.4160777286434,0.0,3124.663324952906,-2700.0,5531.856949436575,0.0,1138.389753413672,-3736.7509936758443,0.0
t55,1570.5497728926616,778.6196798159376,0.0,3419.5288842201894,-2700.0,5367.246045271859,161.0587641162556,790.9718766218781,-3736.7509936758443,0.0
t56,1875.4880816901416,3345.5602411670684,1420.7916262495755,4311.924750484131,-2700.0,6927.036649999999,1718.2079356788693,1463.666235148252,-3736.7509936758443,0.0
t57,1875.4880816901418,6939.308850252511,4623.6235470784495,7295.2540494197265,1754.4587381718222,6737.5036390000005,2348.5074026295392,1177.1820223350255,-3401.711874661365,0.0
t58,1875.4880816901418,6154.317178160608,4623.6235470784495,7295.2540494197265,562.1369754098824,7738.812427380192,2243.6487299576775,967.0460071065992,-2746.0677428085073,0.0
t59,1715.4750686110965,5567.004280578899,4150.10031573152,7295.2540494197265,351.6165346270841,7693.794019102153,542.4624340357082,103.83101109032049,-3718.0486489268965,0.0
t60,1728.0222656424253,5975.925698646896,3751.354580897908,7295.2540494197265,481.9331075844388,7525.504702159897,2314.095432176945,0.0,0.0,0.0
